INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jioengage-cricket-bastion,10.8.6.2,custom-1-2048,1,2.0 GB,200 GB,RUNNING,jioengage,prod,bastion,bigticket-prod,720
jioengage-dev-bastion,10.2.2.2,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,dev,bastion,bigticket-dev,308
jioengage-loadtest-01,10.3.16.70,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-02,10.3.16.71,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-03,10.3.16.72,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-04,10.3.16.73,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-05,10.3.16.74,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-06,10.3.16.75,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-07,10.3.16.76,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-08,10.3.16.77,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-09,10.3.16.78,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-10,10.3.16.79,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-11,10.3.16.40,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-12,10.3.16.41,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-13,10.3.16.44,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-14,10.3.16.89,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-15,10.3.16.126,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-16,10.3.16.15,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-17,10.3.16.23,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-18,10.3.16.34,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-19,10.3.16.35,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-20,10.3.16.36,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-21,10.3.16.37,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-22,10.3.16.38,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-23,10.3.16.46,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-24,10.3.16.47,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-loadtest-25,10.3.16.50,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,loadtest,bigticket-prod,720
jioengage-ludo-dev,10.2.3.13,e2-standard-2,2,8.0 GB,50 GB,RUNNING,jioengage,dev,ludo,bigticket-dev,308
